"filename","nome","titolo","anno","chunk","DIL"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","1 Non sono allegro: voglio imporre al mio carattere, vo' esser lieto a tutti i costi, vo' uscir dall'attuale mia situazione d'animo. Mi sarà forse vietato di togliermi per un istante dal mondo della realtà allo scopo di sollevarmi lo spirito troppo abbattuto? Le campagne del pensiero non son coperte di cadaveri appestati?","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Il regno dell'immaginazione per me è il Paradiso terrestre. La letteratura vuol forse essere sempre vestita a lutto? Sia come vuol la regola.","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Se non offendo la morale e le convenienze, posso far ciò che più m'aggrada colla mia fantasia. Ho bisogno di dimenticare questa vita piena di spine, di apparenze. Ci vuol della gran forza, ci vuol proprio un aiuto sovrumano per non disgustarci talvolta alla vista delle azioni umane.","YES"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Anche l'uomo pieno di speranze s'attrista e fugge a nascondersi..... Se fa di non innalzare i suoi occhi al cielo, si dispera. La prova della vita è pur anco difficile!","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Finchè sei avvoltolato nel fango all'ultima punta de' capelli, finchè vivi or sulle spalle di uno, or sul dorso di un altro, finchè meni una vita puramente esterna, stringi la mano di qualche persona che si dà il vanto d'esser persona grande, trovi un sorriso sulle labbra di coloro che dettano. Fa un poco d'uscir fuori dal fango, d' ergerti dritto sulla spina dorsale, e di far vedere che anche tu hai una tua persona e sei buono di pensare, di meditare, di far qualche cosa alla meglio da te; ogni qualità di denti ti afferrano di mezzo al corpo, i coltelli dell'invidia ti scorticano insino all'osso, l'alito di molti vuol ad ogni costo appestarti, incenerirti. Guarda quel viso.","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Come ti fissa! È contrazione di serpente. Ma queste sono melanconie belle e buone.","YES"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","1 NOTTE I. 1 1 Sto seduto al mio tavolino: alla destra stammi un mazzolino di fiori, l'olezzo dolcissimo m' esilara l' anima. Li prendo nelle mani; li fiuto.","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Che odor soave! oh carissimi fiori! che cosa siete mai?","YES"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Li guardo. Sono garofani freschissimi di varia specie misti a gelsomini, a spigo. È l'anno de' bei fiori.","NO"
"Vigano_Francesco-Battello_sotto_marino-1839","Vigano Francesco","Battello sotto marino","1839","Una lucerna di Locatelli ed una candela illuminano la mia stanza da studio. Il Brenta dice che abbiamo due occhi, e che bisogna leggere e scrivere colla scorta di due lumi. Io sono nella circostanza di ascoltare i consigli di tutti: la mia vista va diminuendo di giorno in giorno.","NO"
