"filename","nome","titolo","anno","chunk","DIL"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","﻿AGESILAO MILANO O IL MARTIRE DI COSENZA PASQUALE VILLANI PROLOGO L'Angelus Domini Dopo circa diciannove secoli; dopo le tante fasi politiche subite da questa Sebezia terra, per quanto ubertosa e salubre, altrettanto infelice ed oppressa; i Greci vinti in seguito alla distruzione di Troia, esuli e raminghi, mendicando un asilo che li avesse ricoverati, vennero a stabilirsi nelle Calabrie, e propriamente nel Cosentino, cui dettero il nome di Magna Grecia. Ed abbenchè questi avessero sgomberate le nostre terre da epoca remotissima, purtuttavolta le tracce, se sonsi di gran lunga menomate, non sono però del tutto scomparse; e quindi di una quantità di piccoli paesi in quell'adiacenza situati, come Spezzano, San Basile, San Demetrio, Santa Sofia, Lungro, Fermo, Acquaformosa e San Benedetto Ullano, gli abitanti son detti Albanesi, perchè s'avvicinano nella favella al greco linguaggio, sebbene corrotto e ad altra lingua frammisto, e conservano sempre nel cuore quella fermezza, quell'abnegazione, quell'amor di patria, di che le pagine eterne della storia nostra decantano le gesta gloriose; come di tanti e tanti martiri fatti segno alla barbarie del dispotico potere, tra quali è debito menzionare il vescovo Serrao assassinato dal governo de Borboni nel 1799. Sono i primi giorni di Febbraio del 1844, e l'infelice Cosenza veniva insanguinata di venti vittime, sol perchè s'iniziavano alla via della libertà!","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Gli abitanti fuggiaschi, malconci, scannati nelle pubbliche vie, nelle proprie case dall'orda feroce de' poliziotti, retrocedevano inorriditi all'infame vista di forche e ghigliottine preparate a sacrificare uomini, i quali altro peccato non aveano che il solo pensiero, che in que' tempi era severamente punito, come consigliava un famigerato prefetto di polizia al governo ed a' suoi adepti «Al popolo non si deve permettere di pensare!..» Intanto taluni cittadini scampati alla strage, ferventi di patrio amore, di fraterna carità, seppellir doveano questi affetti nelle più profonde latebre dell'anima loro, senza muover labbro, senza gittare un sospiro, colla morte nell'anima e la disperazione nel cuore, perchè negato era anche il dolce ed innocente conforto del pianto e tristi ed avviliti contemplavano la loro sciagura! E mentre a Reggio ed a Gerace si fremeva, si cospirava, s'armava tutta una provincia per rivendicare i diritti della patria, per estollersi in rivoluzione, come avvenne nel 1847, epoca memoranda per quelle terre, nelle quali fervette la guerra fratricida, una scena domestica non men crudele e dolorosa accadeva in quelli stesso giorno a San Benedetto Ullano. L'era un giorno il più fosco e più taciturno che mai avesse veduto ancora quel tristissimo inverno.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Il nevaio che il dì innanzi s'era steso come un bianco funereo lenzuolo su tutte le vie, avea ricominciato nella notte e continuava; gli alberi e le cascine sparse nella campagna, ogni capanna, ogni casa, il tetto della chiesa e il solitario campanile del villaggio pareano cedere sotto il gran peso della neve. La natura all'intorno era morta, ed il cielo tutto ingombro di densissime nebbie non avea per consolarlo neppure quel trasparente bagliore di un sole scarso e fuggitivo che nell'iniqua stagione distingue il dì dalla notte. Una modesta casa di un pianterreno ed un altro superiore sorge a verso il lato d'oriente.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Sembrava fosse deserta, tanto era il silenzio che vi regnava; ed abbenchè fossesi penetrato nel peristilio del palazzo, pure quella pace profonda, apparente, assimilavasi a quella del sepolcro. Il pianterreno composto di una sola stanza e d'una cucina di fabbrica gretta situata sul pavimento, come si usa in quasi tutti i paesi del mezzogiorno, era deserto, ed immetteva mercè un adito poco regolare e mal costruito nell'interno di largo cortile assicurato ad una vecchia e grossa porta di legno tarlata e fradicia. Una scala di fabbrica sulla dritta dell'entrata faceva ascendere al piano superiore, composto di tre o quattro camere, arredate di scarsa e vecchia mobilia.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Nè domestici, nè fantesche faceano mostra di sè; solo un vecchio settagenario calvo ed ossuto, lungo e macilento, andava su e giù e pareva addarsi alle domestiche faccende. Si sarebbe quello a primo aspetto giudicata l'asilo di gente rustica e villana, avvezza solamente alla vanga e alla messe, ignorante e superstiziosa, che striscia e si curva riverente dinnanzi al suo idolo coronato che adora come Dio, e più di Dio ancora, perchè ne teme i feroci effetti; che dà titoli a chi à dell'oro e schernisce chi porta l'abito sdrucito; che in chiesa recita il confiteor, mentre in piazza scanna il fratello; che fa l'elemosina al frate, mentre ruba al suo simile; che infine intende di vivere, ma vegeta. Si sarebbe creduto invero a questa razza appartenere gli ospiti colà rifuggiti; ma chi in quel momento fosse penetrato in quel pianerottolo soprano, chi avesse aperto l'uscio dell'ultima interna camera, avrebbe vi scorta tutta una famiglia colà raccolta.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","La quale, abbenchè esposta alle trafitture dell'inverno, al rigore della tramontana penetrante per le lacere impannate delle finestre, stavasene immobile, taciturna, agghiadata così dal freddo, come dal lungo patire, guardandosi a quanto a quanto negli occhi, quasi s'interrogasse in silenzio. Quella vista, quell'aspetto, quel contegno fermo e sostenuto, triste ma non supplice, infondeva un religioso rispetto ed inaudita venerazione, facendo certo, ch'essa avea primeggiata un tempo, e che ora la sola sventura l'avea dannata alla espiazione di non mai commessi falli. Un letto sostenuto da due grosse scranne di ferro e formato di un pagliereccio e d'un grosso materasso di lana, poche sedie dipinte in oro che il tempo avea annerite, due tavoli ed un vecchio armadio formavano l'addobbo di quella camera.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Un uomo poco meno di cinquant'anni stava disteso sul letto. La sua statura era regolare e le sue forme bellissime con tuttochè la salute ne fosse gracile e vacillante. Gli occhi erano languidi e in parte cisposi; cagioni di ciò forse il lungo piangere e la umidità delle varie prigioni, in cui era stato rinchiuso parecchio tempo, per politica imputazione, fin dal 1820.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Uscito da pochi mesi dal carcere di Castelvetere, dopo essersi espropriato un pò per volta di tutt'i suoi beni, per far zittire que' lupi rapaci, che son certi uomini del potere, i quali, dopo il pasto àn più fame che pria; scansando la vita, per offrirla nel rincontro interamente a vantaggio della patria, s'era ritirato in quel povero tenimento unico e solo avanzo fra le molte sue possessioni. Nè però le prigionie, i digiuni, gli oltraggi, le torture aveano potuto affievolire o spegnere in quel maschio cuore il fervente patrio amore e religioso affetto pe' suoi fratelli; chè anzi, sotto la più vigile sorveglianza d'una masnada crudele, che venia detta Polizia, in ristrettezze tali, che inclinavano quasi alla miseria, egli non avea mai lasciato di vagheggiare il santissimo baluardo de' popoli che s'appella Libertà ed amore. Non mancava di corrispondersi per via di lettere con Giuseppe Ricciardi capo del provvisorio governo calabrese, e col colonnello delli Franci, come anche con Musacchio e Musciaro intimi amici di lui, e martiri della libertà; fidente nell'avvenire, forte nel presente, colla mente alla patria, con la fidanza in Dio, vivea in grembo alla sua disgraziata famiglia.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Ad un lato del letto stava seduta su d'una vecchia sedia a bracciuoli una donna di circa trentacinque anni pallida nel viso e maciata nella persona. Più in là, anche assisa sopra una sedia di paglia, eravi una giovinetta trilustre, bella quanto il sorriso di Dio, la quale cogli occhi pregni di lagrime guardava in silenzio quegli esseri troppo cari a lei. In un canto della camera eravi un giovinetto che poteva contare circa tredici o quattordici anni, con le braccia incrocicchiate al petto, il quale ora guardava attentamente il movimento de' suoi, ora alzava gli occhi al cielo in atto di rassegnazione, e qualche volta prorompea in doloroso sospiro.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Pure quella sua attitudine, i suoi sguardi, quella sua triste rassegnazione, que' moti involontari del suo corpo, rivelavano una certa magnanimità d'animo, un civico coraggio, uno spirito di abnegazione ed un amore sacrosanto al suo suolo nativo. Abbominava il vizio, detestava la colpa, e più d'ogni altro odiava il colpevole e l'assassino; umano e generoso fin da' più verdi anni, deliziavasi nelle opere pie e virtuose. Franco e leale nello esprimersi, giusto ne' sentimenti, patriottico nell'operare, cose tutte, che proporzionalmente crebbero col crescere dell'età sua, arrivando persino ad un eroico entusiasmo, che lo classifica nel numero de' martiri per la libertà d'Italia.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Dall'età di sette in otto anni, suo padre lo avea collocato nel collegio Italo-greco di San Demetrio, in dove profittò molto nelle lettere e nelle scienze, e da cui era uscito allorchè il padre suo, finita la espiazione d'ingiusta pena comminatagli, come già sappiamo, erasene ritornato in seno alla propria famiglia, sotto modo di custodia esteriore, formolario della polizia borbonica. Ecco dunque riunita un'intera famiglia, a cui non manca che un giovinetto meno adulto del primo dell'età di quasi undici anni, il quale diversamente dall'altro s'intratteneva nell'ambito del cortile in puerili passatempi. Il silenzio fu osservato per qualche tempo, ma finalmente venne rotto dalla donna anziana.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","‒ Come passi, Gabriele mio? si fece a domandare quella stringendo la mano all'altro. Il medico stamane non è peranco arrivato...","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","Ma via su, amico mio, smetti quella melanconia! ‒ Non fa il caso, moglie mia, rispose Gabriele stringendole con affetto la mano. Oggi mi sento un po' meglio, il mio male à colpito più il fisico che il morale.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","È troppo vero che la prigionia, le segrete, i criminali rendono la vita inabile affatto, ma la malattia del cuore è più terribile ancora. Io vorrei veder franti i ceppi della patria nostra, e poi... e poi morire!.. Ma ora... ora, amici miei, io, non posso che dire come Cristo: Lo spirito è pronto, ma la carne è stanca.","YES"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","‒ Dannazione ai tiranni, si fece a rispondere la giovinetta. ‒ Invece, soggiunse la madre, dovresti gridar morte ad essi, mia buona Caterina. Gabriele approvava con un gesto di capo, mentre il giovinetto prese a dire: ‒ Non vale il gridar morte, bisogna darla.","NO"
"Villani_Pasquale-Agesilao_Milano_o_il_martire_di_Cosenza-1856","Villani Pasquale","Agesilao Milano o il martire di Cosenza","1856","‒ Agesilao, figlio mio, soggiunse il padre, tu sei molto giovane, tu sei un fiore che t'assidi su d'un troppo verde gambo, tu sarai forse presente alle gioie dell'infelice Italia, mentre io da lassù benedirò te e i tuoi fratelli. ‒ Così sia! riprese quegli bassando il capo, così sia!..","NO"
