"filename","nome","titolo","anno","chunk","DIL"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","﻿Emma A QUARANTACINQUE ANNI RACCONTO. Luciano Marnieri era un uomo di età matura. La sua persona ancora svelta e vigorosa, il suo sguardo talvolta animato da un raggio di vivacità giovanile, avrebbero potuto far credere che egli era più giovane di quanto realmente fosse, se il contegno per abitudine calmo, riservato, l’espressione del volto quasi sempre concentrato e severo e le rughe precoci che solcavano la sua fronte, non avessero ristabilito l’equilibrio nel giudizio di colui che avesse voluto dal suo aspetto indovinarne l’età.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Marnieri aveva quarantacinque anni. Tutti lo sapevano, nè lui si curava di nasconderli; coloro poi che non l’avessero saputo, forse gliene davano di più, ma pochi erano quelli, che abituati ad osservare le altrui fisionomie non avessero scorto in questa dei contrasti insoliti e nuovi. Molti immaginarono che egli avesse pagato un largo tributo alle passioni della giovinezza e che, dopo avere lungamente lottato in alto mare coi venti e le tempeste, si fosse ora ridotto nella pace e la sicurezza del porto; ma coloro s’ingannavano.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","L’aspetto stanco e severo di Marnieri rivelava bensì dei lunghi patimenti, ma anche dell’energia nel patire, di quell’energia che non s’accresce, ma piuttosto dilegua nelle bufere giovanili. E lui aveva domato, vinto tutto intorno a sè e in sè. Aveva tracciato il limite alla sua volontà, ai suoi desiderii, al suo cuore; aveva fatto un colpo di Stato in favore del dispotismo e della legittimità, negli anni in cui tutti votano per la ribellione e la libertà, e nel governo di se stesso aveva eletta sovrana la fredda intelligenza.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Trattò ognora come ribelli e nemici quei sentimenti, che sorsero in lui a combattere le sue idee, e allorquando le circostanze o la fragilità umana gli consigliavano delle amnistie o delle concessioni, n’ebbe sempre scapito, e ne trasse argomento per convincersi viepiù che la Ragione aveva ragione. Nato da ricchissimi genitori, egli era giunto all’età, in cui già formansi delle liete speranze per l’avvenire, dei dolci legami d’amicizia, allorchè per improvvisi rovesci di fortuna la sua famiglia si trovò ridotta agli estremi della povertà. Fu disgraziato nelle persone quanto negli averi.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Perdette le une e gl’altri. Compagni, congiunti, domestici, tutti facevansi lontani, mano mano che il torrente della sventura invadeva le cose sue, e colla ricchezza gli portava via le generose speranze giovanili e le soavi credenze negli affetti altrui. Ma il turbine non lo travolse.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Sentì nell’amarezza dell’abbandono rinascere la fede in se stesso, sentì per la prima volta che poteva reggersi anche solo, e coll’andar del tempo si convinse che se l’avere dei servi e degli amici è cosa utile e buona, è altresì ancor meglio saper trovare nella propria individualità l’aiuto e il conforto che prima traeva da essi. Per questo non piegò il capo davanti a nessuno. Lottò col lavoro contro la miseria; lottò coll’orgoglio e la volontà contro le seduzioni del cuore e dei sensi.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Gli anni più belli della giovinezza trascorsero per lui nell’operosità indefessa del corpo e della mente. La sua energia era tutta rivolta allo scopo di ricuperare ciò che aveva perduto, la sua intelligenza ad acquistare quanto più collo studio incessante poteva ottenere. Il cuore aveva vuoto e chiuso, perchè gli ospiti d’una volta ne erano usciti e troppo temeva che altri v’entrassero che somigliassero a’ primi.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Talvolta qualche graziosa immagine di donna, qualche sorriso seducente e malizioso tentò aprirne la porta mal chiusa, ma la severa e vigile intelligenza che vegliava sovrana sopra di esso, inesorabilmente li respinse. Dopo molti anni, egli aveva riacquistato ancor più di quanto avesse perduto. Era ricco, indipendente, in posizione di rendersi utile agl’altri.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Ma quando ebbe conseguito tutto questo, non era più giovane e non era più solo. Egli aveva sposato una sua cugina, figlia naturale di uno zio, che compiaciutosi dell’amore allo studio e al lavoro del nipote l’invitò a quel tempo a vivere in casa sua, e previde e incoraggiò codesto matrimonio. Luciano si era abbandonato con piacere e fiducia all’affetto che gli ispirò la sua giovane cugina.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Essa era stata colpita nei primi anni della sua vita dalla sventura, come esso aveva dovuto imparare a lottare colla miseria e lo sconforto, e non fu che più tardi che la casa paterna potette accoglierla e proteggerla. Luciano che s’era sempre negato tutte le gioie della giovinezza, che aveva frenato con una volontà ferrea tutti gl’impeti del cuore e della fantasia, credette che le gioie austere della famiglia e della paternità fossero le sole degne di lui, utili alla società e a se stesso. La sua diffidenza, giustamente desta per le disgrazie patite, s’acquetava pensando ai vincoli legittimi e indissolubili del matrimonio; gli sembrava che i suoi affetti dovessero essere più al sicuro, allorchè la legge e la società li sanzionavano e proteggevano.","YES"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","E il matrimonio fu fatto. Luciano che aveva creduto dover suo, sino a quel giorno, di soffocare in sè tutte le soavi follie dell’affetto, non potè e non volle in questo primo slancio di amore vivo e nuovo reprimere l’espansione e la gioia che traboccavano dal suo cuore. Le immagini poetiche aridamente raccolte altre volte negli studii, le opere d’arte intravvedute senza entusiasmo, le melodie udite con calma nelle sale e nei teatri, tutte quelle memorie colorì esso in quei giorni di nuove tinte, e gli parve di vedere d’un tratto il mondo ringiovanito, abbellito.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Ma codesto sogno della sua fantasia durò poco. Passò come una febbre che vi coglie e vi lascia senza motivo. La seria giovinetta, cui egli aveva prodigato senza reticenza tanto amore, tante espressioni d’affetto, non lo comprese o non volle comprenderlo.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Essa era una donna di mente fredda, mediocre, ordinatissima; era nata buona massaia, sposa docile, fedele, severa. Le parve forse che alla futura madre di famiglia non convenisse incoraggiare i poetici e disordinati voli della fantasia di Luciano, le parve sciupare il tempo, seguendo il giovane sposo nelle entusiaste follie del momento, nei suoi sogni artistici, nelle sue nuove e più elevate ispirazioni. Essa non comprendeva, e le sembrava futile e dannoso trattare argomenti che non fossero positivi o utili; non amava rivestire la sincera e fedele affezione che aveva in cuore per il marito coi fronzoli chimerici di poetici inganni.","YES"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","A lei forse, come a tant’altre serie ed oneste, parve di profanare la propria affezione esprimendola a qual modo. Luciano se ne accorse ben presto. Prima di capire indovinò.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Egli si era ingannato ed ebbe vergogna del suo inganno. Simile a molti forti ed energici al par di lui, egli ignorava ancora qual sentimento fosse l’umiliazione. Non gli parve mai vero che esistesse della gente che avesse arrossito dell’esser povera, di quelli che si fossero vergognati di un’impresa non riuscita e che non avessero soffocato quel sentimento col desiderio di ricominciare daccapo; egli queste cose non le aveva capite, perchè provava vivo in sè il bisogno di lottare, perchè un tentativo fallito aveva per lui il merito di essere un incentivo a rifare; ma adesso, in questo caso impreveduto, la sua vecchia esperienza non lo servì più.","YES"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Fu umiliato. Per la prima volta il cuore ebbe da lui il permesso di vivere, di esprimersi, di rivelare le cento cose nascoste sino a quel giorno, e nessuno lo volle ascoltare. Egli rimase avvilito e confuso dinanzi al contegno riservato e indifferente della sua giovane sposa.","YES"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Il silenzio glaciale che accolse le sue prime espansioni lo intimidì come avesse commesso un fallo. Egli arrossì d’averle scoperto questo lato intimo del suo spirito, se ne crucciò e pentì, e d’allora in poi pose ogni suo studio a nasconderlo gelosamente. La fredda ragione ebbe così un nuovo trionfo.","YES"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Luciano ne fu tanto convinto, che gli parve persino essere dalla parte del torto e che la sposa sua avesse agito come doveva. Dopo questo fatto l’amò meno, ma la stimò di più. Strana contradizione, per la quale riesce talvolta, a chi credette d’essersi lasciato cogliere in fallo, di stimare maggiormente colui che in quello lo colse!","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","E fu da allora che essa acquistò influenza, quasi potere sopra di lui. Egli rinchiuse in sè e cercò soffocare in ogni modo quei sentimenti, quelle aspirazioni che per un momento avevano cominciato a realizzarsi; e coll’andar degl’anni le credette atrofizzate davvero; nè più si ricordò di quel segreto di gioie e di illusioni che aveva ricacciato nel cuore e che v’era sepolto per sempre. I due sposi non rimasero lungo tempo soli; nel volgere di qualche anno la famiglia crebbe e quattro figliuoli popolarono la casa.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","La signora Marnieri accettò volonterosa e sollecita i nuovi doveri, le nuove cure; pareva, a misura che la famiglia cresceva, aumentassero anche lo zelo e l’attività di lei; le sue buone qualità ebbero campo di porsi in luce, le sue abilità qual buona massaia di perfezionarsi; non visse più che per quel piccolo mondo pieno di affanni e di gioie domestiche; il suo spirito vi si stabilì, vi trovò i suoi alimenti e il suo sviluppo, e non uscì più da quella cerchia. Col marito, che non sempre poteva aiutarla di fatto, e coll’intelletto mal s’adattava a codesti particolari, essa divenne alquanto più imperiosa ed esigente. Sebbene ricco, Luciano Marnieri lavorava ancora.","NO"
"Viola_Ferretti_Emilia-A_quarantacinque_anni-1874","Viola Ferretti Emilia","A quarantacinque anni","1874","Distinto per il molto sapere ed il vivacissimo ingegno, era l’avvocato più ricercato della città e anche da altre provincie gli venivano talvolta clienti o colleghi a domandare consiglio. A stento gli riusciva salvare alcune ore alfine di dedicarle alla famiglia ed allo studio. Gli studii letterarii specialmente lo allettavano; erano per lui un riposo dal lavoro arduo, dalle piccole cure famigliari; con essi, senza che egli lo sapesse, s’alimentava di qualche vivo raggio di poesia e di ispirazione la sua mobile fantasia condannata al silenzio, e quegli studii erano il conforto maggiore della sua austera esistenza.","NO"
