"filename","nome","titolo","anno","chunk","DIL"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","﻿Circe I verdi campi della Puglia roteavano davanti al treno fuggente. Il sole di marzo, così dolce all’aperto, entrava torrido e inesorabile per il finestrino e gravava sui polverosi cuscini di velluto rosso con ostinazione infocata.","NO"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Io non vedevo la fuga del verde paesaggio primaverile; i miei occhi erano fissi su un quaderno che tenevo sulle ginocchia: un innocente quaderno scolastico destinato a contenere la stentata calligrafia di una mano puerile. Sul frontispizio un ornato azzurro rettangolare diceva: «Orario delle lezioni;» e, sotto, per ogni giorno della settimana, v’erano dei piccoli spazi bianchi: «aritmetica... geografia... storia...» Ahimè! a quale tetra scuola era andata la tragica alunna a cui questo quaderno apparteneva!","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Quale macabra lezione era questa, scritta dalla bianca mano patrizia che aveva conosciuto tante tiepide strette, tanto sfavillante carico di gemme, ed ora anche la ferrea resistenza delle sbarre d’una cella... Voltai la prima pagina, e davanti a me vidi stesa fitta ed obliqua, la calligrafia acuminata... pallide righe tracciate a matita. Mi perdetti in quel sinistro manoscritto come in una landa di sogno. Ad ogni volger di foglio mi balzavano incontro superbi e signorili dei bei nomi slavi, di principe, d’amante, o d’assassino.","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","In ogni linea sghignazzava la morte, ruggiva la passione. E come dai flutti d’un fantastico mare – un mare di morfina, di sangue e di champagne – ecco sorgere, novella Venere, trasognata e stupefacente, Maria Nicolajevna Tarnovskaja. Ingenua e attonita, ella comincia le sue Memorie così: «A otto anni ebbi la rosolia, e perdetti la vista.","NO"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Portavo degli occhiali blu. Mia madre mi amava molto. Anche mio padre.","NO"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Anche la servitù. Tutti mi amavano molto.» Ecco; mi addolora continuare la lettura. Vorrei fermarmi qui, con la bambinetta che tutti amano e che traverso gli occhiali blu vede il mondo color rosa.","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Ah Maria Nicolajevna, se i tuoi occhi fossero rimasti celati dietro a quelle lenti crepuscolari, chi t’avrebbe oggi esecrata e maledetta? Ma a dodici anni l’oculista volle scoperte quelle iridi all’acquerello verde, quelle limpide pupille translucenti che dovevano mirare il fondo di tanto nero abisso... Leggo, leggo – e non mi so fermare. Le fitte pagine scritte nelle prigioni di Venezia appaiono dapprima vergate con forza nervosa, con qua e là cancellature energiche, con aspro sottolinear di nomi e di date.","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Già sulle prime pagine campeggia, baldo conquistatore, il giovane Vassili Tarnovsky: fieramente bello, ferocemente egoista, dalla voce «commovente come un violoncello,» dai chiari occhi bagnati di luce, dalla fosca anima satura di vizi. «Io avevo già diciassette anni e mi credevo seria ed assennata. Ma, per quanto me lo dicessero tutti, io non potevo credere che Vassili fosse leggero, dissoluto, incostante.","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","M’innamorai della sua bellezza e del suo canto; e il 12 aprile, in una piccola chiesa della steppa, di nascosto lo sposai... Non credevo che si potesse essere tanto felici.» E subito, sulla pagina seguente, troviamo la lista tremenda, incredibile, delle amanti che la sposa adolescente scopre! Terminato il musicale elenco di nomi femminili che per lei suonano cupo dolore, ella osserva semplicemente: «Non sapevo che si potesse essere tanto infelici.» ... Più in là vi sono lacune, stranezze, incoerenze; un fuggitivo fiorire di frasi a effetto; Maria Tarnovskaja si dimentica d’essere la tragica eroina di questo libro e ne diventa la passiva annotatrice: «Terminata la cena all’una di notte, mio marito abbracciò nuovamente il Bozevsky.","YES"
"Vivanti_Anna_Emilia-Circe-1912","Vivanti Anna Emilia","Circe","1912","Erano riconciliati. Bozevsky poi baciò la mano a mia cugina e a me, e ci accompagnò alla slitta. Mentre mi aiutava a montare, si udì una detonazione qualche cosa mi fischiò nei capelli.","NO"
