"filename","nome","titolo","anno","chunk","DIL"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","﻿ANNIE VIVANTI I DIVORATORI ROMANZO","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","AD UNA MERAVIGLIOSA BAMBINA CH'IO AMO DEDICO QUESTO LIBRO PERCHÈ LO LEGGA QUANDO AVRÀ DEI MERAVIGLIOSI BAMBINI SUOI. PREFAZIONE C'era un uomo che aveva un canarino; e disse: ""Che caro canarino!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Se potesse diventare un'aquila!"" Iddio disse: ""Nutrilo del tuo cuore, e diverrà un'aquila"". Allora l'uomo lo nutrì del suo cuore.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","E il canarino divenne un'aquila, e gli strappò gli occhi. C'era una donna che aveva un gatto; e disse: ""Che caro gattino! Se potesse diventare una tigre!""","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Iddio disse: ""Dàgli a bere il tuo sangue, e diverrà una tigre"". Allora la donna gli diede a bere il suo sangue. E il gatto divenne una tigre, e la sbranò.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","C'era un uomo e una donna che avevano un bambino. E dissero: ""Che caro bambino!... Se potesse diventare un genio! ""","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","LIBRO PRIMO La creaturina nella culla aprì gli occhi e disse: - Ho fame. Nulla si mosse nell'ombra della camera silenziosa e l'infante ripetè il breve grido inarticolato.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Allora s'udì un fruscìo di vesti, un lieve accorrere di passi: due tenere braccia lo sollevano, e lo acqueta un cinguettìo di dolci parole vane. Ecco per la puerile guancia il fresco petto materno, per la piccola bocca avida ecco la fonte di blande e bianche delizie. Sopita e soddisfatta la creaturina ricade nel sonno.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","La piccola Edith Avory tornò dalla scuola correndo, col cappello a sghembo e le treccie al vento, ed entrò ansante nella sala da pranzo della Casa Grigia. - Sono arrivate? - domandò a Florence, che stava apparecchiando la tavola per il thè.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Sì, signorina, - rispose() la cameriera. - Dove sono? Il «béby»() com'è?","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Dove l'hanno portato? E senza aspettar risposta, la ragazzetta scappò dalla stanza e corse sgambettolando su per le scale. Giunta alla «nursery», che fino allora era stata camera sua, si fermò.","YES"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Attraverso la porta chiusa udì un piccolo grido querulo che le tolse il respiro. Sporse, esitando, la mano, ed aprì la porta. Poi si fermò, attonita e delusa, sul limitare.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Presso la finestra, con lo sguardo noncurante rivolto alle verdi praterie del Hertfordshire, sedeva una donna, severa, quadrata, vestita di percalle rosa. Batteva con mano distratta, a colpettini leggeri e regolari, un piccolo involto di flanella che teneva sulle ginocchia. Era il béby!","YES"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","con la faccia in giù. Edith vedeva spuntare dalla flanella da una parte la pianta di due piedini rossi e dall'altra una piccola testa oblunga coperta di morbida lanugine nera. - Oh Dio!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- esclamò, - è quello il béby? - Prego di chiudere la porta, miss, - disse la «nurse». - Ma credevo che i bambini piccoli fossero tutti biondi, e vestiti di bianco... con nastri celesti, - balbettò Edith.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","La nurse non si degnò di rispondere. Continuò a batterellare distrattamente colla grossa mano sulla piccola schiena tonda coperta di flanella. Edith si avvicinò, timida.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Perchè fate così? - domandò. La donna, inarcando le sopracciglia con aria sprezzante, la guardò da capo a piedi.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Poi disse brusca e subitanea: - Flatulenza! ventosità - e continuò a picchiettare. Edith, interdetta, si domandò che cosa significasse quella risposta.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Poteva riferirsi al cattivo tempo? od era forse un modo volgare di dire a Edith di star zitta? Dopo un po', osò domandare: - La sua mamma - e additò l'involto - è arrivata anche lei?","YES"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Sissignora, - rispose la nurse. - E quando ve ne andrete, abbiate la cortesia di chiudere la porta dietro di voi. Edith mortificata e attonita obbedì.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Udendo delle voci nella camera di sua madre, guardò dentro, e vide una giovinetta vestita di nero, con capelli neri come quelli del béby, seduta sul sofà, accanto a sua madre. L'estranea piangeva, tutta scossa da singhiozzi, colla faccia nascosta in un piccolo fazzoletto ad orli neri. - Vieni, vieni, Edith, - disse la madre.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Vieni, guarda! Questa è tua cognata Valeria. Dàlle tanti baci e dille di non piangere.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Ma dov'è la mamma del bambino? - disse Edith, per guadagnar tempo prima di baciare quel lacrimoso viso sconosciuto. La giovinetta in lutto alzò gli occhi dal fazzoletto - occhi oscuri inondati di lacrime.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Son io, - disse, con un rapido sorriso luminoso, ed una lacrima, cadendo, le si fermò in una fossetta della guancia. - Ma non è un bambino, sai; è una bambina. Che cara!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- soggiunse, baciando Edith, - che cara ragazzina che potrà giocare col mio angioletto! - Oh, ma è troppa piccola quella lì, per giocare, - disse Edith con disprezzo. - E poi, - soggiunse, - ho visto quella donna che la batteva.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- La batteva! - esclamò la ragazza in lutto, balzando in piedi. - La batteva!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- gridò() la madre di Edith. Ed entrambe uscirono precipitosamente. Edith, rimasta sola, volse lo sguardo per la camera familiare.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Sul letto di sua madre giaceva una piccola coperta di flanella ricamata, uguale a quella che avvolgeva il béby; ed una cuffietta minuscola; e degli scalfarotti; e un sonaglino di gomma. Sopra una seggiola vide una giacchetta nera, ed un cappello nero guarnito di crespo e di grosse ciliegie, nere ed opache. Edith ne schiacciò una fra le dita, e la ciliegia si ruppe, vitrea e glutinosa.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Poi la ragazzetta andò allo specchio e si provò il cappello. Le piacque vedere il suo piccolo viso lungo sotto quella acconciatura caliginosa, e la fece traballare, tentennando il capo in qua e in là. - Quando sarò vedova - disse tra sè - porterò anch'io un cappello come questo.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Poi lo fece cadere dalla sua testa sopra la seggiola. Schiacciò rapidamente un'altra ciliegia, e uscì per andare a vedere la bambina. La trovò nella nursery tra le braccia della nonna, che la faceva ballare in su e in giù.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","La creaturina teneva il pugno in bocca, e i larghi occhi guardavano nel vuoto. La ragazza in lutto, le stava davanti in ginocchio, battendo le mani e cantando: «Cara! cara!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","cara!... bella! bella!","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","bella!» mentre Wilson, la nurse, voltando le larghe spalle indifferenti, vuotava i tiretti del cassettone di Edith, piegando le sue cose e mettendole da parte per portarle disopra nella cameretta che doveva d'or innanzi servire alla ragazzina; poichè della camera di Edith aveva bisogno il béby. Edith si stancò presto di star lì, e scese in giardino a cercare del «Brown Boy», il ragazzo del giardiniere. Lo trovò nell'orto intento a tagliare i germogli delle piante di fragola.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","Era tutto colore del terriccio, e ne aveva come sempre sulle mani, sulla faccia e nei capelli. Perciò più che per la sua parentela, si chiamava il «Brown Boy». - Buona sera, - disse Edith fermandosi davanti a lui con le mani dietro la schiena.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Buona sera, - disse Jim Brown, senza smettere il suo lavoro. - Sono arrivate! Sono già lì tutt'e due, - disse la ragazzetta.","NO"
"Vivanti_Anna_Emilia-I_divoratori-1911","Vivanti Anna Emilia","I divoratori","1911","- Ah sì? - E Jim Brown sedette sulle calcagna pulendosi le mani sui pantaloni. - Il béby è nero, - disse Edith, cupamente.","NO"
