"filename","nome","titolo","anno","chunk","DIL"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","AGLI ILLUSTRISSIMI SIGNORI COMPONENTI LA MAGISTRATURA E CONSIGLIO DEL COMUNE DI MINERBIO Benchè da lungo tempo avessi divisato di raccogliere le memorie che si hanno di questa nostra patria, e di unirle in un sol corpo col proposito di darle, quando che fosse, alla luce, affinchè i fatti di ogni maniera quivi seguìti non dovessero al tutto perire; pure a far ciò per le molte difficoltà che mi si paravano innanzi, non mi sarei mai indotto, se Voi medesimi, all'uopo non mi aveste dato incoraggiamento ed aiuto. Permettetemi adunque, che senza altro preambolo, io v'intitoli questo scritto, che considerai di vostra ragione fin dal momento che unanimemente approvaste il mio divisamento, e ne sollecitaste la stampa.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Sarebbe contro ogni dovere che io mi cercassi un altro Mecenate, perciocchè da voi solamente ebbi quanto mi occorreva per pubblicarlo: chè se del mio posi le indagini laboriose dei codici antichi e delle loro versioni, e la ricerca di quei monumenti storico-letterari che me ne somministrarono le materie; del vostro v'ha il più, cioè il non lieve dispendio dell' edizione. Veramente non ho risparmiato nulla di tutto quello che poteva giovarmi a mettere in chiaro la prima origine di questa terra, il suo ampliamento, mercè di quei Signori che la reggevano, il valore dei nostri padri, le perdite e le pressure sofferte, le arti cresciute e protette, l'origine della nostra chiesa e di tutti i suoi pastori, gli uomini che salirono in fama, e che lasciarono di sè onorata memoria, e i cambiamenti politici a quando a quando avvenuti, siccome in ogni altro paese, col cambiar delle sorti allor che sopraggiungono dominatori più fortunati o più potenti a soverchiar tutti, e a tramutare ogni ordine antico. S'ingannerebbe a partito chi avvisasse di leggere questa cronaca a fine di diletto, sia per eleganza di stile, sia per novità di avventure, di che troppo si pasce oggidì la gioventù, senza poi curarsi della semplice verità dei fatti.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Memore di quella sentenza, che la storia non ammette abbigliamenti, perchè qual si adoperi in adornezze ed in eleganze di dettato, fallisce più spesso allo scopo della pubblica espettazione, sacrificando al diletto la verità. Pertanto crederei di mancare al buon fine dello storico arrovellandomi l'ingegno a cercare le grazie del dire, anzi che la semplice e nuda sposizione dei fatti succedutisi in questa terra, de' quali o poco, o non mai avrete inteso a parlare. Avvegnachè però io conosca essere questa opericciuola ben poca cosa da porgere a voi, che sì degnamente reggete la natale mia terra; nulladimeno considerando la sollecitudine vostra, perchè gli usi civili e sociali di conserto colla religione fioriscano in questa contrada conforme all'esempio dei padri nostri, io l'ho voluta a voi intitolata, affinchè tutti si sentissero dolcemente spronati a seguire quel vivere virtuoso, che sempre formò ogni vostro vanto e decoro.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Così avessi potuto riempierla in quei tratti di tempo in che non mi fu dato di trovar materia al mio scrivere! E chi si occupava delle patrie cose ne' secoli trascorsi ? chi era da tanto che avesse cura e discrezione da registrare tuttochè accadeva nel suo paese, se appena in ogni venti o trenta miglia (parlando dei lontani tempi) non vi aveva che un qualche agente, o vecchio notaio che temperasse la penna una o due volte l' anno per fare una lista o ricevere un'ultima volontà?","YES"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Certo se mi fosse avvenuto di trovar più materia, l'avrei aggiunta a questo mio lavoro il quale vi sarebbe venuto innanzi con più confidenza. In ogni modo quel poco che potei trarre dai pubblici e privati archivi e dalle biblioteche, intitolandolo a voi, lo rendo di pubblico diritto, e spero, che amorevoli come vi conosco, non lo rifiuterete, comechè povero di quelle grazie di che altri pure saprebbe adornarlo. A taluno parranno forse soverchie le citazioni frequenti; ma considerando che le cronache si debbono appoggiare a monumenti parlanti, e che la loro autenticità non si può provare altrimenti, recherò oltre le citazioni anche i brani, anche gl'interi documenti, che in questa guisa scanserò la censura austera di coloro che pongono ogni studio nel negar fede a tutto che da altri si afferma o si scrive.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Del resto, è egli possibile scrivere a verso di tutti? no, e diceva bene Cicerone: suum cuique pulchrum,.... sic res se habet; te tua, me delectant mea (a). Presto si critica, e tardi e forse mai non si dà giusta ragione delle censure.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Si legga adunque, ma non si giudichi una causa di cui non si abbia piena cognizione, nè si censuri uno scritto qualunque, se non dopo di averlo seriamente considerato. Dividerò questo lavoro in tre parti, e seguendo l'ordine cronologico dei tempi, parlerò nella prima dell' origine di questa terra, e di quanto vi accadde fino ai nostri giorni: nella seconda, dell'origine di questa parocchia, e delle altre chiese, esistenti e soppresse: nella terza darò un' appendice di tutti i documenti citati. Gradite il buon volere di un vostro municipale, e membro del comunale consiglio, mentre colla più sentita e cordiale osservanza, auguro a voi, ed a tutto il comune intera felicità.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Minerbio, 8 dicembre 1853. PARTE PRIMA MINERBIO Dieci miglia fuori di Porta S. Donato sull'antico stradale che fino agli ultimi tempi del secolo scorso da Bologna metteva a Ferrara, trovasi in bella postura l'antica terra e castello di Minerbio.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","L'origine di questo nome, secondo il più antico documento che trovasi nel pubblico Archivio di Bologna (1), e conforme ne scrivono tutti gli storici nostri, deriva da un tempio pagano consacrato alla dea Minerva, intorno al quale sorgevano amplissimi boschi, e selve e paludi di gran rinomanza. Era in Italia sino al tempo de' Galli Boi certa selva detta allora Litana di cui fanno menzione i più reputati storici, infra i quali basterà accennare Plinio e Tito Livio. Di essa (2) parlano pure gli Archeologi bolognesi, e tutti opinano che si distendesse in gran parte per le nostre pianure, attesi i molti luoghi bolognesi che recano nomi di Boschi, e che nel medio evo segnatamente erano tali in realtà.","NO"
"Zamboni_Camillo-Cronaca_del_Castello_di_Minerbio-1855","Zamboni Camillo","Cronaca del Castello di Minerbio","1855","Nella qual epoca erano celebri il saltus plano (bosco o selva in pianura) la Selva Minervese, o Minerbiese, e il gran tratto di bosco che dall' antichissima pieve di Buda si estendeva fino a Cento. Tutti i quali luoghi vengono reputati dal nostro annalista Savioli come avanzi di quella storica Selva Litana, e specialmente la selva Minervese di cui nel pubblico Archivio conservasi tal documento che non ammette eccezione. Codesto documento scritto il 2 novembre 1186 fa conoscere come Ildebrando di Gualfredo Podestà di Bologna imponesse agli uomini di S. Marino e di Lovoleto che dimettessero al Comune di Bologna la Selva Minervese che si avevano usurpata, e li condanna alla pena di cento lire imperiali se torne ranno ad appropriarsela, o mover lite e contesa in pregiudizio di detto Comune.","NO"
