"filename","nome","titolo","anno","chunk","DIL"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","BEATRICE ALIGHIERI RACCONTO STORICO DEL SECOLO XIV. DI IFIGENIA ZAULI SAJANI AMATISSIMA Quando per sollievo degli anni vissuti lungi dalla Patria, io visitava talora la mia terra natale, e di quivi io volava a Ravenna da te aspettata e amorevolmente accolta, dalla tua casa (un giorno dimora dell'illustre famiglia Polentani) io contemplava sovente piena di sacra reverenza la famigerata tomba che le sorge da presso, e che tanto lustro aggiunge a codesta città-la tomba dello Alighieri.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","E alla memoria di quel grande inspirandomi, correva la mia mente alla figliuola di lui, Beatrice, che pareami vedere nella corte de' Polentani aggirarsi per quelle stanze medesime dove nata e cresciuta era la bellissima Francesca. Quindi il primo concetto di questo racconto. Però non ad altri che a te può il mio cuore intitolarlo, a te fin dai teneri anni dolcissima delle amiche, cui grandemente stimo ed onoro.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Vaglia questo povero lavoro, qualunque ei sia, così a farti fede del mio animo, come ricordarti le sere d'autunno del 1842, in cui la tua conversazione, bella delle più nobili ed insigni persone di Ravenna, era spesso onorata dalla presenza dell' Eminentissimo Principe il Cardinale Amat, che in tempi difficilissimi, a me consorte di un Emigrato, non solo faceva volto benigno, ma dava gentile incoraggiamento a continuare nello esercizio delle lettere. Le quali cortesie in un Porporato Preside della città, mi rammentavano quel magnanimo Guido Novello, r 1 L che nella medesima terra Principe, similmente alle dolcezze del governare tanta sapienza e virtù sapeva congiungere. Siati dunque anche per questo raccomandato il mio libro, che vede la luce in epоса fortunatissima, e segna l'istante in cui seguitando i destini del mio Consorte, della dilettissima mia Patria ritorno cittadina.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Tua affezionatissima Amica IFIGENIA SAJANI. Di Malta li 11 Maggio 1847. I.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Romagna tua non è, e non fu mai, Senza guerra nel cuor de' suoi tiranni, Ma palese nessuna or ven' lasciai. Ravenna stà, come stata è molti anni: L' aquila da Polenta la si cova, (1) Si che Cervia ricuopre co' suoi vanni. La terra, che fe' già la lunga pruova, (2) E di Franceschi sanguinoso mucchio, Sotto le branche verdi si ritruova.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","E'l Mastin vecchio, e 'l nuovo da Verrucchio, Che fecer di Montagna il mal governo, (3) Là dove soglion, fan de' denti succhio. DANTE, Inf: Canto XXVII. RAVENNA, antichissima figlia dell' Adria, che molti secoli prima di Venezia in somigliante modo emerse, quasi nuovo miracolo, dalle feconde spume del mare, che per lunga stagione toccando del piede le sue marine, nella longeva sua (1) Arme de' Polentani.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","e (2) Forli, che al tempo di Martino IV fu lungamente assediata dai Francesi di Carlo d'Angio, finché per lo stratagemma del Conte Guido da Monte Feltro, rimase libera con grandissima strage degli assalitori-Sotto le branche verdi; sotto gli Ordelaffi. (3) Malatesta padre e Malatesta figlio, detti da Verrucchio per un castello di questo nome che avevano nell' Ariminese-Fan de' denti succhio: Fan succhiello de' loro denti, lacerando i sudditi, vita vide già nascere e morire il famigerato porto dei Cesari; Ravenna parve destinata a raccogliere dentro una grande urna ceneraria le reliquie dell'impero d'Occidente (1). E come per consolare di sacre ombre quella terra sepolcrale, protende sulle marittime sue rive due lunghe braccia un' annosa foresta di pini, che verso tramontana giunge a specchiarsi nell' onde dell' Amone, e verso mezzo giorno si arresta per udire i rochi lamenti del Savio.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","È un tratto di 25 miglia tutto coperto di queste sempre verdi, e non so se io mi dica belle più o più utili piante, che in addietro incoronavano la città, ora dalle sue mura di due in tre miglia si sono ritratte, quasi seguitando il mare che si allontana. Vive questa selva da tempi immemorabili, e avvegnachè sia prole primogenita degli abbracciamenti della terra e dell'onda, non pertanto la mano dell'uomo s'interpose ad educarla, e del pino fece una pianta a Cercre sacra, prediletta a Nettuno. Quinci traevano i Romani gli argomenti per le navi custodi dell' Adria e del Jonio, e parte precipua di quella marina che fattasi assoluta Signora del Mediterraneo, per difetto di competitori e a cagione delle troppe complete vittorie, prestamente fu a termine di sua grandezza.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","errava muto L'antica selva nera di Lamagna, la sognata di Caledonia, o quante altre mai andarono in Europa famose, sia come culla di barbariche virtù, o di bardiche ispirazioni; sia come traversate nel medio evo dal bruno cavaliere che in quegli arcani silenzi sospirava alla donna del suo cuore, non furono celebrate al pari di questa, dove il grande esule di Fiorenza e solitario negli estremi anni della sua vita, meditando la ingratitudine della patria e gli ultimi canti del sacro poema, al quale posero mano e cielo e terra;-dove il Certaldese conduce per porci dinnanzi agli occhi la fatal ventura di Nastagio degli Onesti che suono in tante sale cavalleresche, e tanto valse ad ingentilire l'animo delle superbe nemiche dell' amore; -e dove, cinque secoli dopo, il genio di Byron ritrovò gran (1) Vedi in fine del libro Nota al Cap. I lettera A. ne 1 parte di quelle ispirazioni che vivono immortali neli Inglese poesia (1). Questa foresta, spoglia degli orrori dei boschi, dove la natura profuse le sue forze in piante tanto più colossali quanto meno fruttifere, altro non desta che quella soave malinconia di cui tanto si pascono le anime avvezze a ragionare co' loro infortunî.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","I pinico' lunghi e nudi tronchi dirittamente innalzandosi, aprono ad un tratto tutti i rami che a guisa di vasti ombrelli si allargano, si toccano, s'intrecciano, e formano una rinchiusa volta nell' elevata regione dei cieli. Da lungi rendono somiglianza di una schiera di quegli antichi guerrieri che cogli scudi alti sul capo, s'accostavano uniti sotto le oppugnate mura, e ricevevano sicuri la procella dei dardi e dei sassi dell' inimico. Vero è che sotto quei grandi ombrelli s'assiepano i rovi e *le spine, ma s' apre spesso di mezzo a loro un laberinto di bei sentieri, tra quali batte l' ala furtiva il mergo solitario, e spesso i dumi si addensano solamente intorno al verdeggiante cespo del giovane pino, che di loro si fa onesta difesa, e manda intorno una fragranza soave al par di quella dell' incenso e della mirra.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Talora si aprono i pini per far ghirlanda a vasti ed erbosi anfiteatri dove scherzano a branco innumerevoli giumente, che scuotendo i crini e levando le nari, raccolgono l'alito dei zeffiri di primavera, quasi rinnovar volessero il miracolo di concepire i corridori figliuoli del vento. Talora nelle parti men colte, tra densi pruneti s'affoltano i pini, e quivi ne' tempi andati era il ricetto delle damme veloci, del fiero cinghiale, e d'altre belve di che far poteva ricchissima preda il cacciatore. Qua la foresta è intercisa da ruscelletti che spargono intorno le brune e fresche loro acque, e formano pescine dove sotto le perpetue fronde guizza il pesce a vari colori dipinto; là il (1) Non era mai stanco delle mie cavalcate nella foresta de' Pini: vi si respira il decamerone: è un poetico bosco.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Francesca nacque in Ravenna e Dante vi mori esule. - Vi è in quell' aria qualche cosa che porge inspirazione. Byron.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","mare medesimo si addentra nel bosco, e vi fa piccoli seni che servono di porto alla barchetta del pescatore. Le superbe teste dei pini verso la spiaggia gradatamente si abbassano, quasi guardando con reverenza l'elemento fecondatore, e quivi il rovo, a poco a poco diradando, cede il luogo alle sabbie; e le sabbie ritengono la forma che vi lasciarono le onde allorchè infuriando gettarono per entro la selva le loro creste romoreggianti. Correva l'ultimo venerdì di aprile del 1321.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Il giorno era in sul finire, e s'avvicinava quell' ora che sempre mistica e soave all'uomo, dove ch'ei sia, lo è maggiormente, secondo gl'immortali versi di Byron, nel sacro bosco che io mi son fatta presente (1). Un cavaliere tutto chiuso nelle splendide armi, ed immerso ne' suoi pensieri, cavalcava passo passo per quella strada che a traverso della pineta conduce a Ravenna. Non aveva scudiero, sia che la fortuna non gliel consentisse, sia che di bastar credesse a sè solo.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Veniva di Cervia, la città del sale, e lasciate a sinistra le vaste ed incolte pianure sparse quà e là di cannucce e di gora verdastra, era da meglio di un'ora entrato nel bosco. Quindi perduto aveva da un lato la libera vista del mare, dall' altro la bella scena delle lontane e coltivate colline dietro le quali come in un fondo smorente si presenta quella pittoresca catena di monti che forma il dosso dell' Italia. Gli ultimi raggi del sole doravano il fianco dei grandi ombrelli, e di tratto in tratto penetrando languidamente per qualche vano tra i pedali dei pini, battevano sull' armatura del cavaliere, che tersa e di finissimo acciajo com'era, di una luce vermiglia per un istante corruscava.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","In sull' elmetto avea penne di vario colore, -segno che era e che voleva mostrarsi guelfo: la visiera teneva calata, non per altro forse che per meglio rimanere in se concentrato; ma se il volto non pareva, tuttavia a chi sa giudicare dall'armonia delle parti, vedendolo (1) Sweet hour of twilight in the solitude Of the pine forest and the silent shore Which bounds Ravenna's immemorial wood. svelto della persona starsi leggiadramente sovra il bianco cavallo, facil cosa era argomentare che giovine e bello fosse. Vestiva una breve cotta d'armi, e sullo scudo che gli pendeva dallo arcione, erano gigli con rastelli rossi in campo azzurro.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Sciarpa non portava; segno che il dono di un gradito colore non aveva ancora rallegrato quell' anima, giovane sì ma forse già aggravata da molte sventure. Rimaneva immobile sul cavallo, se non che a quando a quando, volgendo la testa dal lato di ponente, pareva che coll' occhio del pensiero guardasse alle elevate sponde fra le quali il Ronco conduce verso Ravenna le torbide sue acque. Ad un tratto dalla calata visiera mandando un lieve fremito, fece quasi meglio intendere a se medesimo ed ai silenzi del bosco, come gli passasser per mente idee dolorose, rimembranze che gli trafiggevano l'anima.","YES"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Forse pensava alla terra de' suoi padri. Forse qualche malefico usurpatore all'ombra dell' aquila imperiale, cacciato avea dalla avita e guelsa sede il lupo ed i lupicini (1). Ma in quei tempi di disordine morale e politico; in quei tempi che furono la selva selvaggia ed aspra e forte ove s'era smarrito il sovrumano spirito di Dante, chi può dire dal lato di chi stesse il torto e la ragione?","YES"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Il trecento fu per l'Italia un' era ad un tempo di decadenza e di risorgimento. Si deradarono le tenebre dell' ignoranza; le lettere, per opera principalmente di quel signore dell' altissimo canto che padre insieme della lingua e della poesia italiana, quando ebbe formato il secolo gli lasciò il suo sorsero (1) Guelfo è corruzione di Wolf, come si sa dalla storia. Corrado Guebeling e Lotario Wolf, animosi rivali che si contesero il trono imperiale dopo la morte di Enrico V nel 1120, trasmisero ai loro partigiani tutta Ja propria rabbia, e furono le malaugurate radici che dalla Germania passarono a desolare l' Italia - Nell' alternare e cambiare deile vicende, i Papi si posero a capo de' guelfi, e gl' Imperatori de' ghibellini.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Ora come Wolf nell'antico e moderno linguaggio tedesco significa lupo, ecco perchè i guelfi vennero tutti figuratamente chiamati lupi: e Dante dopo di aver chiamata lupa la Curia romana, e lupo e lupicini il conte Ugolino ed i suoi figli, chiamava Firenze la maladetta e sventurata fossa dei lupi. Da Rossetti. nome; ma l' Omero italico, come il Greco, canto dei tempi eroici quando essi erano già finiti.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Prima di Dante v'ebbe meglio di un secolo e mezzo di gloria, e di gloria veramente italiana. Come i popoli della Penisola si rivendicassero a libertà è noto per le istorie. Il regno di Gregorio VII, il gran pontefice riformatore della chiesa, regno che generalmente è riguardato come l'epoca onde ebbero principio le libertà italiane, avendo messo in moto due opposte parti, le grandi e ricche città che direttamente comunicavano coi papi o cogl'imperadori, s'erano poste a capo di una lega formata nelle provincie o per la tiara, o per la corona.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Le città che tenevano per la chiesa scossero il giogo della corona, elessero consoli, si fecero governo proprio; e quelle che stavano per gl' imperatori, siccome non pareva giusto lasciarle da meno delle nemiche, ottennero in via di privilegio le franchigie (regalic) che le altre si erano colla forza procacciate. Naturale compagna della nascente indipendenza fu la virtù. Spuntarono fra mille aurcole di luce generosi sentimenti, figli dell'amore della patria: una splendida via fu aperta al coraggio ed all'ingegno: crebbero con le popolazioni i mezzi di alimentarla: fiorirono la industria, le arti, il commercio: per rivalità si accrebbero: i magnanimi cittadini usavano le ricchezze in prò del loro paese onde abbellirlo e fortificarlo: a Pontida il valore italiano si mostrò in tutto il suo lume, e parve che la libertà si consolidasse.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Ma la Curia romana che poteva essere per le repubbliche d'Italia quello che fu il consiglio Anfizionico per le Greche, nell'atto istesso che le libertà politiche favoriva, pose semenze che loro riuscir dovevano in seguito fatali. E se da un lato la superstizione venne intorbidando i felici progressi dello incivilimento, dall' altro la libertà trovò un forte ostacolo nella difettosa costituzione di molte delle repubbliche italiane. Oltre che non fecero stabile base alla santa federazione in che si erano riunite, neppure si costituirono esse nell'interno una potenza tutelare, capace di compiere l'indipendenza, e di resistere ai capricci della moltitudine o al mal volere dei grandi: la tirannia popolare più d'ogni altra incomportabile, aperse il campo a quella dei signorotti che si elevarono nelle varie città a dominare i discordanti elementi.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Le repubbliche marittime sole si conservarono, perchè le mura di legno sono sempre quel meglio che le considerò Temistocle. Fra le repubbliche di terra, Firenze più tardi e con più senno pervenuta alla libertà, in essa più lungamente durò. Pessimo d' ogni danno ed effetto della non compiuta indipendenza, fu aver Principi di fatto e senza fermi diritti.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Erano essi per lo più discendenti di quegli antichi nobili contro cui già insorse il popolo, quando intravide che poteva francarsi dalla tirannia de' Conti e de' Baroni, come questi si erano emancipati dalla corona. Ma adesso dalle castella ov' erano stati confinati ritornavano nelle città a guerreggiarle e signoreggiarle. Prendevano nome di capitani del popolo e di podestà, quelli capi dell'armi, questi della giustizia.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Spesso erano eletti all' uno e all' altro ufficio insieme, quello antichissimo, ma più importante ad un solo affidato; questo introdotto dai due Federici I e II, invece dei Consoli da loro aborriti. Privo il potere di legalità, confuso sovente il giudiziario coll' esecutivo, presto ne conseguirono le infedeltà, i tradimenti, lo spesso mutar di parte, le frequenti cadute, i subiti innalzamenti, lo arricchire, l'impoverire ad un tratto, e le poche e grandi virtù mescolate a più grandi delitti; in una parola il pervertimento, la confusione, il disordine. E si fatta differenza fra il XII e il XIII secolo, dimostrata da tutti i fatti storici, è poi altamente pennelleggiata nel gran poema che filosofia, politica e storia, tutto in se racchiude (1).","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","per essere (1) In sul paese che Adige e Po riga, Solea valore e cortesia trovarsi Prima che Federico avesse briga. Dante, Purg. canto XIII. E fra i molti somiglianti passi vedi il canto XV del Paradiso là dove Cacciaguida, antenato di Dante, a lui dice: Firenze dentro della cerchia antica etc.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","E il XIV del Purg., dove comincia : Questi è Rinier, quest'è il pregio e l'onore Della casa de' Calboli, ove nullo Fatto s'è reda poi del suo valore. Le repubbliche italiane per mancanza di savie leggi diedero luogo all' anarchia: l'anarchia al governo dei signorotti: il governo di costoro debole e tirannico alla dominazione degli stranieri. E per parlare della condizione d' Italia all'epoca di che scrivo, dirò che già lo straniero da buona pezza aveva nido nella parte meridionale, imperciocchè dopo i Normanni, e la casa di Hohenstaufen, gli Angioini tenevano il regno di Napoli.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","I guelfi di Toscana avevano ajutato Carlo di Angiò a farsene signore, ed indi ebbe principio quel mal augurato destino per cui parve sempre dappoi che gli stranieri sapessero vincere g.' Italiani, senza l'ajuto d'Italiani. messo non I vesperi di Sicilia ebbero invano chiamato libertà. Procida, che non fu mai un eroe, aveva tolto l'isola agli Angioini per darla agli Aragonesi.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","A Carlo II poi nel reame di Napoli, era successo Roberto, che fu chiamato il re sapiente, e che visse a lungo per farsi prima maladire da Dante, e poscia benedire dal Petrarca. Tanto diverso era il pensiero politico dei due poeti! (1) Nell' Italia settentrionale per le cagioni discorse di sopra, la casa d'Este dai colli Euganei era venuta a signoreggiare Ferrara: g'i Ezzelino da Romano avevano in Padova ed in (1) Dante abborri Roberto perchè usurpava il regno al figlio del fratello suo primogenito.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Parad. Canto IX; perchè congiurava coi papi francesi a commuovere i guelfi ed insignorirsi di tutta Italia: e ne occupò molta parte: e sotto colore di proteggerla signoreggiò le repubbliche, riparando sempre con arti volpine alla poca fortuna nelle battaglie. L' atrocità dell'odio non molto filosofico di Dante verso quel re, che allora viveva abominato da molti, e la pedantesca adorazione del Petrarca, il quale udendolo a tempi suoi celebrato, prestava le lodi di Roberto a Laura e di Laura a Roberto, ti additano non pure i caratteri distintivi di due grandi uomini, ma le rapidissime alterazioni de' giudizi popolari; tanto più che le generazioni successive di quella età pareva che nascessero in terre diverse, tanta era la loro dissimiglianza! Quindi la storia letteraria, benchè si affacendi intorno alle date, perde quasi sempre d'occhio i confini delle epoche, e quindi il Tiraboschi va disputando: Se il Re Roberto anche a Dante Alighieri avesse dati contrassegni d' onore e di stima"" Cosi Foscolo-Io considero amendue i Poeti in sommo grado amantissimi della Italia, ma Dante nelle sue grandi vedute, e coll'altera e ferma indole non seppe mai ai difetti d' alcuno perdonare, fosse amico o nemico, principe o re.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","A Petrarca d'animo soave, sovente l'amicizia fece inganno, e senza rinunciare alle massime ei perdonava all'individuo. 6C 1 Verona fatto luogo agli Scaligeri. La famiglia dei Visconti e dei Della Torre innalzata si era in Milano: quella de' Pepoli in Bologna.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Della condizione di Romagna abbastanza si ha ne' pochi e forti versi sopracitati con che Dante nello inferno ne dà conto a Guido da Montefeltro, il subdolo consigliere di Papa Bonifacio VIII che ad onta dell' assoluzione andò dannato Ma per le ragioni del mio racconto, dell'aquila da Polenta, la cui ala giungeva fino a ricoprir Cervia, uopo è fare alcune preliminari parole, e toccare degli spettabili signori di que la famiglia, cui fecero tanto celebrata nel mondo i lamentevoli casi di Francesca e l'ospitale ricetto accordato al Poeta, che di Francesca fece alto argomento di giustizia e di pietà.-Ma non prendasi errore, come parecchi uomini di lettere pur fecero. V'ebbe due Guidi da Polenta assai fra loro diversi, l'uno che male accasata la figliuola, diè occasione al poeta, per le pietose parole che ne correvano in Italia, di farne la scusa immortale: l'altro che parve volesse rendergli merito di avere, anche fra gli orrori dell' inferno, fatta al mondo sì gradita e cara la zia (1). La famiglia Polentana scesa a Ravenna da un castello che porta lor nome vicin di Brettinoro, e levatasi in fama per opere di valore, fu lunga stagione antagonista della casa Traversara, la quale meglio di mezzo secolo tenne in Ravenna la somma delle cose.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Nel 1275, Guido III da Polenta, sopranominato il minore o il vecchio, coli ajuto che gli diè Giovanni Malatesta, detto Gian-ciotto, venne a capo di scacciar di Ravenna i Traversari e farsi capitano perpetuo del popolo. Molti figliuoli ebbe questo Guido, fra i quali ricorderò-Lamberto, Ostasio, Bernardino, e la bella e sventurata Francesca. Ora, un pensiero di gratitudine (comecchè non sia bello il mostrarsi grato a spese della miseria del proprio sangue) il persuase a dare in moglie la figliuola a quel Malatesta si brutto e sì sconcio della persona.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Ma qui non si rimase ciò che con tale intendimento ei fece. V'ha cosa da pochi conosciuta e che a me grandemente (1) Vedi in fine del libro Nota al Cap. I lettera B. importa di notare; e questo è ch'egli molto adoperossi onde il figliuol suo Bernardino togliesse per donna la sorella di Malatesta per nome Maddalena, volendo con questo doppio parentado mantenersi nella profittevole amistà di lui.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Se Bernardino fosse con la moglie avventurato non è detto per le istorie, ma certo ei fu nobile e valoroso cavaliere, e grandissima fama acquistandosi fra l'armi, trovossi nella famosa giornata di Campaldino al fianco di Dante che giovane ed animoso combattea fra le prime file della repubblica. A Guido III successe il figliuolo suo primogenito Lamberto, il quale per la molta dottrina eletto pretore perpetuo della città, crebbe alla casa lustro e potenza. Dopo la sua morte, avvenuta senza prole, non alcuno dei fratelli, chè tutti mancati erano prima del 1318, ma due nipoti ne ereditarono la potenza -Ostasio II, e Guido V detto il novello-Ostasio figlio di Bernardino; Guido novello, (il cortese accoglitore di Dante) figliuolo di Ostasio primo.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Erano essi di Ravenna più che altro principi di fatto, e solo questo Ostasio potè poi render ferma la Signoria nella sua famiglia. Ma nell'epoca di che parlo, Guido teneva la somma della cose in Ravenna, e Ostasio signoreggiava Cervia. - L'autorità di Guido era poi accresciuta dall' aver egli un fratel maggiore per nome Rinaldo, ordinato sacerdote, che di santissimi costumi essendo, e caro all' universale, era stato dal clero di Ravenna eletto Arcivescovo.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Ma è oggimai tempo di tornare al nostro cavaliere che abbiamo lasciato a viaggiare per la Pineta. a era Una densa e pesante tenebra quasi ad un tratto era venuta circondarlo. Riflettendo all'ora in cui partito e al cammino che aveva fatto, la cosa gli sapeva strana.","YES"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Se non che provava non so qual diletto nella profonda calma che gli regnava d'intorno, nella cupa ombra dei pini che parea che taciti si movessero dietro a' suoi passi, ed in una specie di brezza fresca e sottile che entrando sotto il ferro dell'armatura tutta gli cercava la persona. Voleva spronare il suo cavallo, e quella specie d'incantesimo in che si trovava, gli teneva insieme coll'anima immote e costrette le membra, e quasi togliendogli la facoltà del pensiero, lo facevano riposare in un insieme d' idee che non ne formavano alcuna. Non pertanto, accorgendosene appena, andava dicendo a se medesimo-Se avessi errato la via!","YES"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","E macchinalmente abbassava il capo per guardare sul terreno, ma l'orma del sentiero, che anche in cupa notte può distinguersi, non pareva. Si riscosse allora e alzò gli occhi sperando vedere fra qualche vano del bosco, o di mezzo all'intreccio dei rami il lume di alcuna stella. Ma tutto era oscurità, e il cielo si veniva abbassando sulla selva come se la circuisse con una volta di bronzo.","YES"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","Mentre il cavaliere rifletteva a quel che gli poteva incogliere dall' essersi lasciato sorprendere dalla notte nel più folto del bosco, un improvviso chiarore balenò d' intorno, e come dentro un mare di luce gli mostrò in nero delineati tutti i tronchi ed i-rami, e in quello istante gli fu avviso vedersi a lato sovra un negro destriero un negro cavaliere! il suo cavallo aombrando ricalcitrò... l' altro fece altrettanto! Appena ei potè comprendere se fosse quella la propria ombra; e non prima il bosco fu in densa oscurità ricaduto, che scoppiò fortissimo un tuono, il quale prolungandosi lontan lontano prima trovò un eco, e poi si perdè nei più intimi recessi del bosco.","NO"
"Zauli_Sajani_Ifigenia-Beatrice_Alighieri-1847","Zauli Sajani Ifigenia","Beatrice Alighieri","1847","I sacri silenzi rotti cosi da quel subito rimbombo, più non ritornarono. Il primo scroscio di una di quelle pioggie che in sul finire d'aprile diluviano spesso improvvise, si fece udire al disopra di lui nei grandi ombrelli dei pini: lo strepito si accrebbe con incredibile celerità, e le acque proruppero dirottissime. I venti che impetuosi si erano scatenati, investendo i recinti del bosco, e dallo impedimento fatti più fieri, ruggivano, si dibattevano, e parea che fin dalle radici volessero scuotere quell' antico baluardo della natura.","NO"
