"filename","nome","titolo","anno","chunk","DIL"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","- Mille fulmini! Battista, tu non hai messo la polvere dove dovevi metterla. Queste parole di senso oscuro le pronunciava l'elegante marchese Gili, balzando fuori dal suo carrozzino.","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","Battista parve comprendere l'enormità della sua colpa, perchè balbettò umilmente qualche scusa. - Bisogna rimediarvi, - soggiunse il marchese, appoggiando sul selciato della via un piedino snello con calze di seta color carnicino e scarpette lucide. - Rimediarvi!","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","- ripetè Battista inarcando la spina dorsale fino a convertirla in un enorme punto d'interrogazione, in mezzo al quale calava come un fendente lo sguardo corrucciato del signore. - Presto, corri a casa; il vasetto è quello di cristallo, a destra, colle viole sul coperchio - va ad aspettarmi nel corridoio interno dell'appartamento della baronessa. Sei pratico, non è vero?","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","- Oh! sì, signore. Di interrogativo, il punto si fece esclamativo.","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","Battista si rizzò, coi piedi avvicinati, una mano lungo la coscia, nell'altra il cappello. A un cenno del marchese risalì sul carrozzino a fianco del cocchiere, che sferzò i cavalli e partì di galoppo. Il marchese entrò con passo disinvolto in una bella casa di aspetto grandioso e imponente; infilò, coll'aria d'un uomo che conosce la sua strada, un ampio scalone fiancheggiato da semprevivi, a cui si aveva, per la circostanza, aggiunto delle camelie.","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","Ma intanto che i fatti svolgendosi nel loro ordine naturale, faranno palese questa circostanza, schizziamo un po' di ritratto. - Vi prego, signor romanziere, il vostro ritratto lo conosciamo già. Bello, giovane, simpatico, spiritoso, distinto - colla fronte intelligente, gli occhi luminosi e il sorriso irresistibile.","YES"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","Venticinque anni e venticinquemila lire di rendita, oltre il blasone. Ecco. - Io vi ho lasciato parlare, vivace quanto cara lettrice, perchè non si deve mai interrompere una signora; ma lasciatemi dire che sbagliate.","YES"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","L'elegante marchese Gili (Armando, Sigismondo, Maria) aveva anzitutto sessantacinque anni. - Basta! oh, allora basta!","YES"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","- Ma no, signora, moderate, vi prego, l'impazienza dei vostri giudizii e udite il resto. Io vi assicuro che aveva sessantacinque anni, perchè il meno che possa sapere un romanziere è l'età de' suoi personaggi; del resto, sfido l'occhio più esercitato - il vostro, o signora - a trovargli una ruga, un capello bianco, un dente guasto. Egli apparteneva a quella razza di vecchi gagliardi che formava un tipo speciale del secolo scorso - nè la sua gagliardia (mi spiace dirlo perchè so di far dispiacere alla morale) proveniva da una vita intemerata e casta, oh Dio, tutto il contrario!","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","Teseo di prima forza, conosceva i dedali del piacere e non c'era pericolo che vi smarrisse il filo; nel caso le Arianne non mancavano a rinnovarlo. La sua vita era stata una guerra continua col tempo; il più splendido, il più incredibile trionfo coronava la vittoria del marchese. Aveva una figurina in miniatura, piccolo e sottile, ma non magro.","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","La sua carnagione, mista di gigli e di rose, doveva forse qualche cosa ai meriti dell'oriza lactes e all'acqua delle Fate - ma che serve ricercare tanto per il sottile? Se il colore delle sue guance rifletteva i globuli del sangue, il ferro, l'albumina o il succo di citriolo (eccellente cosmetico per la pelle), che importa? Egli era bianco e rosa - questo è l'essenziale.","YES"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","I suoi capelli, biondi, fini, accuratamente sollevati con un'arte piena di abbandono, circondavano un volto ove lo spirito e la malizia urtavansi perennemente facendo scaturire le più brillanti scintille. Usava egli bagni di latte d'asina come la voluttuosa Poppea? Certo, al pari di Apicio, che intraprese il viaggio d'Africa per trovare una qualità di gamberi migliori di quelli d'Italia, il marchese Gili sarebbe partito per le foreste vergini della Nuova Caledonia se gli avessero detto che colà germogliava un'erba capace di ritardare, fosse pure d'un giorno, la cadente vecchiezza.","NO"
"Zuccari_Anna_alias_Neera-Vecchie_catene-1878","Zuccari Anna alias Neera","Vecchie catene","1878","E frattanto usava le cure più minuziose onde conservare il vermiglio delle sue labbra, lo smalto dei suoi denti, la morbidezza della sua mano, l'elasticità giovanile dei muscoli e delle movenze aggraziate e pronte. Il suo sorriso era fino, mordente; lama a doppio taglio presentava ad un tempo la galanteria e la satira. Spiritoso e maligno, si faceva temere dagli uomini - colle donne otteneva i più insperati successi.","NO"
