"filename","nome","titolo","anno","chunk","DIL"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","﻿DAISY DI CARPENETTO LE DUE OFFERTE Romanzo PARTE PRIMA «Il ne faut pas chercher la verité mais devant un homme comprendre quelle est sa verité.» Remy de Gourmont Renato mi ha lasciata da pochi minuti. Se io mi affacciassi alla finestra potrei vederlo camminare nella strada deserta, scura, fredda, forse un poco curvo ed affaticato come tutti gli esseri i quali ritornano a notte tarda nelle case che non li attirano piú. Troverà sua moglie addormentata.","YES"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Renato mi ha detto ch’ella si assopisce subito, quietamente, per svegliarsi soltanto quando il sole è già alto nella stanza. Perché mi ha parlato di sua moglie dopo di avermi detto troppe, intense parole di passione? Egli non l’ama, egli non l’ama piú.","YES"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Ma il nome di lei, breve piccolo nome creato dall’intimità per l’intimità (si chiama Minú), ritorna spesso sulle sue labbra accanto a quello della sua bambina. Renato pronunzia questi due nomi, sorridendo, senza commozione, con una dolcezza istintiva che forse egli stesso non misura, quasi essi fossero una parte vitale del suo corpo, la sua piú profonda ragione di esistere. Temo Renato.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Per la prima volta da quando sono vedova avverto nitidissima la sensazione del pericolo: questa sensazione mi avviluppa e mi turba. La nostra antica amicizia si è trasformata all’improvviso in un sentimento torbido, complesso, vibrante di paura e di desiderio, che m’invecchia, mi affatica, rendendomi nemica ogni ora di solitudine. Quando siamo vicini non sappiamo piú scherzare.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","L’allegria, per incanto, rimane fuori dall’uscio che ci divide dal resto del mondo. Se il riso diventa superfluo l’amore è molto vicino. Perché ribellarsi?","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Io non desidero l’amore. Giudico gli uomini troppo avidi e capricciosi, fanciulli insaziati ed insaziabili, per chiedere ancora alla vita il dono piú crudele ch’essa possa concedere. Ma la giovinezza, anche se stanca, anche se delusa, tradisce a volte aspre ribellioni, lancia sordi richiami, trastullandosi con la creatura ch’essa tiene nella sua morsa per pochi anni come le sfumature del cielo si trastullano nello specchio del mare che le riflette.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Renato, lasciandomi, mi ha detto: — A domani. Non sorrideva. Forse ha tremato un poco mentre egli baciava la mia mano.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","Avrei voluto ricordargli, ad un tratto, i nostri anni piú lontani, piú sereni, quando nel vasto parco veneto ogni parola era trasparente di lieta adolescenza ed ogni pausa di voci era soltanto un’attesa di parole nuove. Adesso io temo il silenzio quasi fosse un agguato. Il silenzio è la piú degna culla dell’amore.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","La notte è intima, snervante, complice dell’istinto: suscita per ogni ora che trascorre la malinconia di un’ora perduta. Il passato, bizzarro labirinto creato fra la luce e l’ombra, ricco di vele e di àncore, non mi custodisce piú. Sono sola e libera.","NO"
"di_Carpenetto_Daisy-Le_due_offerte-1929","di Carpenetto Daisy","Le due offerte","1929","La solitudine di una creatura giovane e libera dovrebbe spaventare sempre poiché essa è sbrigliata, ansante, assetata di sensazioni e di sentimenti, di pericoli e di certezze, d’illusioni e di tentazioni, di sofferenze e di rinascite, poiché essa è ingorda di passione. * * * Renato stanotte è rincasato molto tardi dopo di aver trascorso la serata con un gruppo di amici. Stamani mi è sembrato nervoso, inquieto.","NO"
