"filename","nome","titolo","anno","chunk","DIL"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","﻿BACCIO EMANUELE MAINERI LA LEGGENDA DEL BURANCO STREGHE FOLLETTI E APPARIZIONI IN LIGURIA","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","A FILIPPO ORLANDO Mio caro, Scrivo il tuo nome in fronte a queste pagine come segno della stima e dell'affetto che ti porto; ma tu non guardare alla pochezza loro, bensì all'affermazione di un'amicizia, che non potrebb'essere nè più viva, nè più sincera.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","In mezzo alle traversie d'una vita operosa e nella triste esperienza d'un ingiusto obblio, tu, o amico, — integro di costume, retto di principî, sicuro da coscienza, continuasti, imperturbato e sereno, ad arricchire la patria di pubblicazioni, che rimangono a far fede del tuo ingegno ed acume nelle lettere; ed io non dimenticherò mai che nella comunanza de' più nobili ideali e nella corrispondenza del tuo affetto ho attinto più d'una volta conforto alle amarezze di crudeli disinganni. E or tu, mio caro, nello scorrere questo libro, forse il più leggiero d'ogni altro mio, sii cortese di fargli più che puoi buon viso a ciò è riesca meglio a incontrare il compatimento del pubblico. Più che opera letteraria, esso è ricordo di tempi migliori, e, più che ricordo, desiderio documentato di poter presto salutare, nella quiete de' miei monti,","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","L'alba del dì, che non vedrà mai sera Roma, ottobre del 1898. B.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","E. Maineri. LA DEDICATORIA D'UN LIBRO INEDITO QUANDO SARÒ MORTO....","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","A TOMASO GIONA BECCHINO DEL MIO BORGO Una dedicatoria a un becchino? — E perchè no?","YES"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Non è egli forse un uomo come un altro e — non ve l'abbiate a male — non può egli essere un galantuomo par vostro e mio? Anzi — e sarei pronto a giurarlo sul Vangelo —, ei valeva assai più di tanti e tanti che han titolo di baccelliere, e magari di dottore, i quali col nastrino all'occhiello dell'abito, sono saliti tant'alto da credere che gli onesti non li ravvisino più per quel ch'e’sono: barattieri solenni. Dico perciò che, se aveste conosciuto quel povero becchino, lo avreste, come me, amato e, aggiungo anche, onorato.","YES"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Io, allora, ero quasi fanciullo; ma quando il brav'uomo morì, portavo già i peli del labbro superiore arricciati dispettosamente all'insù con quella boria de’ vent'anni, che sarebbe molto ridicola, se non fosse altrettanto innocente. Di quel tempo certi fumi si guardan con occhio benevolo, avvegnachè, più o meno, li abbiamo avuti tutti, quei fumi; e, invero, quella è proprio l'età delle leggerezze e delle scappatelle, le quali — ove non passino la misura o il segno — meritano sempre benevolo perdono. A quei giorni io credo che Tomaso Giona, soprannominato il Griso, andasse oltre i sessant'anni; e tuttavia quel numero di pasque se le portava bene.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Alto della persona e segaligno, di proporzioni giuste, aveva fibra resistente e muscoli d'acciaio: e quattro lustri più tardi, ossia la bellezza di vent'anni dopo, quando vantava boriosamente i suoi ottant'anni, le gambe lo servivano ancor così bene, che non c'era caso ch'e’ mancasse una sol volta al pietoso suo ufficio. Nè questo soltanto; ma ei non cessò un momento dal coltivare il suo campo, di solcarlo co’ bovi e, secondo le stagioni, di lavorarlo bravamente con la sua zappa. Io correva in quel torno l'adolescenza beata, e allorchè lo incontravo in qualche sentiero remoto o all'aperta campagna, non mi parea vero di attaccar discorso con lui.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Parlava con molta semplicità e buon senso, e forse per questo io provavo tanto piacere di trattenermi con lui, passando insieme qualche ora. Anche adesso che quel tempo è lontano, anche adesso, mi pare di vedermelo lì dinanzi e di sentir la sua parola affettuosa e persuasiva. Usava portare brache di traliccio, le gambe nude e scalzi i piedi, indossando una camicia rozza, sì, ma pulita — chè la nettezza amava assai, come i contadini della mia valle —, con le maniche rimboccate fin sopra i gomiti; il cui sparato, sempre aperto, lasciava vedere il largo petto con peli bianchi e neri, le costole salienti e la pelle lucida e bronzina.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Tomaso soleva anche coprire il capo col tradizionale berretto rosso, a guisa dei contadini liguri, che ricordavano sempre con piacere i tempi della Serenissima; usanza, ahimè, passata di moda come tant'altre assai diverse e forse migliori delle presenti, E quando avveniva che m'imbattessi in lui curvo sull'aratro o intento a zappare la terra, io rimanevo tra meravigliato e commosso osservando quella sua testa calva, che a’ raggi del sole mandava baleni di brunito metallo. Un giorno, sul far della sera, io passava vicino al suo campo. — Ehi, Griso, che stai facendo?","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Si volse, e con cera sorridente: — Ah! siete voi… — rispose —; la solita vita. — Come va la salute?","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","— Bene, grazie a Dio. A’ giovani non si domanda —; e intanto fermava i buoi. — Non c'è male — dissi —; hai nuove da darmi?","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","— Le nuove le sanno lor signori, che leggon le gazzette; per la povera gente, sempre la stessa ruota; casa e campagna, campagna e casa,... e un po’ di chiesa alla festa. — Facevo così per dire; sai quanto m'è caro scambiar due parole con te. — Grazie; aspettate.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Incitò le bestie col pungolo, finì il solco e diè un'occhiata intorno, mandando un ah! di soddisfazione; poi, venne lentamente a me, che lo attendevo seduto sull'erbosa ripa in fondo al campo: dove, sedendo su d'un corbello rivoltato, si cominciarono le chiacchiere. La sua parola era piena d'affetto, schietta, animata; e per lo più i discorsi riguardavano il passato, secondo l'usanza dei vecchi; nei quali a mano a mano si accalorava: e quando si metteva a snocciolare, era un vero piacere.","NO"
"Maineri_Baccio_Emanuele-La__leggenda_del_Buranco-1900","Maineri Baccio Emanuele","La  leggenda del Buranco","1900","Narrava delle famiglie del paese venute in agiatezza per fatiche sudate e oneste, di quelle cadute in povertà per ozio e dappocaggine: si soffermava a questo e a quel caso, notandone le cause, e fermandosi a’ particolari della disgrazia o fortuna. I giudizi, le riflessioni, i consigli erano sempre sensati; onde io pendevo tutto dalla sua bocca. Sovente facea capolino la politica, s'intende la politica o gli eventi del passato: la rivoluzione francese, la Serenissima, gli eserciti stranieri acquartierati ne’ dintorni del borgo; .... il re di Sardegna e l'Austria.","NO"
